Názov,Kraj,Okres,Obec,Popis obce,Lokalita,GPS,Popis fotky,Zoznam padlych,Datum narodenia,Datum umrtia
"Pomník padlým v I. a II. svetovej vojne, Košické Olšany",Košický,Košice-okolie,Košické Oľšany,Obec leží v Košickej kotline v doline Torysy v okrese Košice-okolie v Košickom samosprávnom kraji. Prvá písomná zmienka o obci pochádza z roku 1288 a v súčasnosti tu žije asi 1300 obyvateľov.,Pomník sa nachádza neďaleko domu smútku na miestnom cintoríne.,48.733179 21.346886,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 11 mien padlých vojakov v I. a 4 mená padlých v II. svetovej vojne. Pomník odhalili z iniciatívy starostu obce Slavomíra Horvátha v roku 2017. Tvorí ho veľký balvan z miestneho kameňolomu, na ktorý je pripevnená tabuľa s menami padlých vojakov.","Juraj Behún
Ján Bodnár
Michal Bundžár
Vincent Jacko
Michal Kažimír
Vincent Kažimír
Ján Nagy
Ondrej Orkuty
Jozef Pecúch
Ján Sendery
Štefan Škapura","-
-
-
-
-
-
-
-
-
-
-","1915
1916
1915
1918
1914
1915
1918
1914
1917
-
1914"
"Pomník padlým v I. svetovej vojne, Veľká Ida",Košický,Košice-okolie,Veľká ida,Obec Veľká Ida leží v západnej časti Košickej kotliny na dolnom toku Idy v okrese Košice-okolie v Košickom samosprávnom kraji. Prvá písomná zmienka o obci pochádza z roku 1251 a v súčasnosti tu žije asi 3500 obyvateľov.,Pomník sa nachádza na hlavnej ulici v obci neďaleko Rímskokatolíckeho kostola sv. Martina biskupa z Tours.,48.595962 21.169223,"Na snímke je pomník padlým vojakom v I. svetovej vojne, na ktorom figuruje 53 mien padlých vojakov. Pomník je architektonicky dotvorený reliéfom boja vojakov a plačúcej ženy s deťmi, stojac odvrátene od umierajúcich hrdinov.","Barnabás Baksi
János Blatnyik
János Benes
József Buczkó
János Csáji
István Csáji
Ferencz Csiszár
Sándor Csiszár
István Csiszár
István Fialka
Tamás Ferenczi
András Gáspár
József Gáspár
Rafael Grosz
András Guba
János Hornyák
János Jano
József Kalas
Ferencz Kállay
József Knap
Mátyás Kövesdi
István Kristóf
György Kuzma
István Lacza
János Lapis
András Leskó
Béla Lossinszky
Gyula Laczko
György Markevszki
Imre Miklós
Ferencz Majláth
Ferencz Majláth
József Opalkó
András Suszter
József Szabó
István Szaniszló
János Sánta
Mihály Sirila
István Sedlák
Pál Szakács
János Szepesi
Dezső Tvergyák
András Tamás
János Varga
József Varga
Márk Wollner
György Zselenyák
András Varga
Manó Grosz
András Hultai
István Kardos
Ferencz Demkó
Mihály Mitkó","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne a obetiam bombardovania obce, Drahňov",Košický,Michalovce,Drahňov,Obec Drahňov leží vo Východoslovenskej nížine na agradačnom vale Laborca pri jeho sútoku s Uhom v okrese Michalovce v Košickom samosprávnom kraji. Prvá písomná zmienka o obci pochádza z roku 1315 a v súčasnosti tu žije asi 1500 obyvateľov.,Pomník sa nachádza v areáli kalvínskeho kostola.,48.591623 21.967441,"Na snímke je pomník padlým v I. a II. svetovej vojne a obetiam bombardovania obce v podobe stĺpu, na vrchu zakončený maďarským mytologickým vtákom turulom.",-,-,-
"Kríž na pamiatku padlých vojakov v I. a II. svetovej vojne, Betliar",Košický,Rožňava,Betliar,Obec Betliar leží v juhovýchodnej časti Slovenského Rudohoria v doline rieky Slaná v okrese Rožňava v Košickom samosprávnom kraji. Prvá písomná zmienka o obci pochádza z roku 1330 a v súčasnosti tu žije asi 1000 obyvateľov.,Prvý kríž po vstupe na cintorín na rázcestí uličiek.,48.701412 20.514655,"Na snímke je kríž na pamiatku padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 19 mien padlých vojakov v I. a 11 mien padlých v druhej svetovej vojne.","Ján Baláž
Ján Betlersky
Ondrej Čižmár
Ondrej Demko
Michal Dulík
Karol Hajduček
Ján Holečko
Jozef Hunyák
Štefan Chovanec
Gejza Kossuth
Ján Lux
Jozef Mazura
Ján Nagy
Michal Poťmák
Ludovit Schlosar
Ondrej Štolec
Emerich Tekenös
Julius Tekenös
Štefan Trilec","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Tabuľa padlým v I. svetovej vojne, Čierna Lehota",Košický,Rožňava,Čierna Lehota,Obec Čierna Lehota leží v juhovýchodnej časti Slovenského Rudohoria pri Lehotskom potoku v okrese Rožňava v Košickom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1389 a v súčasnosti tu žije vyše 600 obyvateľov.,Tabuľa sa nachádza na južnej strane evanjelického kostola.,48.722675 20.251948,"Na snímke je tabuľa padlým v I. svetovej vojne, na ktorej figuruje 39 mien padlých vojakov. Autorom tabule je architekt J. Ferencz z Lučenca.","Ondrej Adámi
Ondrej Adámi
Pavel Adámi
Pavel Barbolič
Juraj Barbolič
Ondrej Benedikti
Pavel Bistren
Štefan Bolčák
Ondrej Figúr
Ondrej Gandžala
Michal Garan
Ján Hedmeg
Ondrej Hedmeg
Ján Holovár
Ján Ivanič
Ondrej Jakobej
Ján Klinko
Pavel Kleč
Ondrej Kočiš
Ján Koper
Ján Košut
Ján Lipták
Ján Marget
Ján Mezovský
Ľudovít Novák
Juraj Oravec
Ján Petrenka
Ján Pukansky
Juraj Pukansky
Ján Siman
Ondrej Spišák
Ondrej Špirko
Ján Tomes
Ondrej Trajba
Ondrej Valent
Ľudovít Krága
Gusto Tomi
Ľudo Tomi
Koloman Tomi","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Dobšiná",Košický,Rožňava,Dobšiná,Mesto Dobšiná leží v juhovýchodnej časti Slovenského rudohoria v doline Dobšinského potoka v okrese Rožňava v Košickom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1326 a v súčasnosti tu žije okolo 5200 obyvateľov.,Pomník sa nachádza pri Rímskokatolíckom kostole sv. Františka Xaverského.,48.819348 20.370029,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 34 mien padlých vojakov.","Leopold Blaško
Ludvik Budinsky
Jozef Černicky
Ján Ernst
Ján Gono
Jozef Gál
Ludevit Gono
Samuel Hadušovsky
Jakub Horník
Ludvik Horník
Ján Horváth
Ladislav Horváth
Jozef Hlaváč
Ludvik Huttnik
Štefan Huttnik
Štefan Huttnik
Karol Jakubčák
Ján Jakubčák
Ján Jendral
Jozef Jendral
Ján Kočiba
Simon Lach
Albert Lipták
Ján Lukáč
Ján Nohavička
Anton Reiprich
Štefan Revaj
Ján Repasky
Samuel Tokarčik
Ján Smrek
Jozef Smrek
Šimon Škvarka
Albert Šmelko
Jozef Vozár","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne, Kráľovský Chlmec",Košický,Trebišov,Kráľovský Chlmec,Mesto Kráľovský Chlmec leží na východnom úpätí andezitových Kráľovských kopcov v okrese Trebišov v Košickom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1214 a v súčasnosti tu žije asi 8000 obyvateľov.,Pomník sa nachádza na námestí medzi rímskokatolíckym kostolom a základnou umeleckou školou.,48.42415 21.976612,"Na snímke je pomník padlým v I. a II. svetovej vojne, ktorý bol odhalený v roku 1990.",-,-,-
"Pomník padlým v I. svetovej vojne, Svätuše",Košický,Trebišov,Svätuše,Obec Svätuše leží v južnej časti Východoslovenskej nížiny na západnom úpätí Kráľovských kopcov v okrese Trebišov v Košickom samosprávnom kraji. Prvá písomná zmienka o obci pochádza z roku 1245 a v súčasnosti tu žije okolo 900 obyvateľov.,Pomník sa nachádza v parku na Kvetnej ulici.,48.43119 21.920211,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 30 mien padlých vojakov. Architektonicky ho dotvára maďarský mytologický vták turul umiestnený na pomníku hore. Objekt bol postavený v roku 1938.","István Abházi
Ferencz H. Abházi
Béla Braun
József Csákó
Lajos Fixler
Sándor Filipovics
János Furik
István Iski
István J. Kendi
János M. Kendi
Imre Kendi
Ferencz F. Kendi
Ferencz Gy. Kendi
János J. Kendi
János P. Kendi
István Keresztyén
Ferencz Kis Feke
János Kolodi
János B. Kulcsár
Ferencz K. Kulcsár
István P. Kulcsár
Sándor Kulcsár
János Megala
Mihály Mihalik
János Nagy Szücs
István Szabó
István A. Szücs
János K. Szücs
István P. Szücs
György Tomori","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Stupava",Bratislavský,Malacky,Stupava,Mesto Stupava leží na juhu Záhorskej nížiny pri úpätí Malých Karpát v Bratislavskom samosprávnom kraji. Je súčasťou okresu Malacky a prvá písomná zmienka o meste pochádza z roku 1269. V súčasnosti tu žije približne 10.000 obyvateľov.,Pomník sa nachádza na Námestí Svätej Trojice pred Kostolom sv. Štefana kráľa.,48.27312 17.032677,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 104 mien padlých vojakov. Postavený bol v roku 1924 a jeho autorom je Anton Weinberger.","Karol Balogh
Ludevit Balogh
Gyula Bartalský
Alojs Beleš
Ján Benca
Jozef Blažiček
Pavel Bilený
Jozef Binder
Filip Brbúch
Pavel Brbúch
Jan Brezovský
Tomáš Buchta
Ján Butz
Sándor Czuczor
Ján Daráš
Anton Fischer
Sándor Gabriel
Andrej Gašparovič
Dr. Alfred Grünwald
Sigried Guttmann
Ármin Guttmann
Wilhelm Guttmann
Jozef Hajzoch
Jozef Haszon
Ján Horecký
Jozef Horecký
Peter Horváth
Karol Horecký
Štefan Hrica
Pavel Ivák
Matej Ivanič
Štefan Ility
Štefan Jelašič
Adolf Juria
Oskar Justh
František Jánoš
Ján Kardian
Ondra Kahanek
Lenhard Klas
Matej Klas
Valent Klas
Jozef Klas
Tomáš Kral
Ludevit Kral
Jozef Kovačovský
Valent Kovačovský
Štefan Kostka
Anton Kubovič
Rudolf Landl
Anton Lachkovič
Alfred Löwenrosen
Ferdinand Magyer
Pavel Malina
Ján Maroš
Jozef Maroš
Mihal Matušek
Albert Magyer
Anton Moza
Štefan Moza
Ján Moza
Blažej Mlinarik
František Novák
Jozef Novák
Jozef Németh
Ján Pečimon
František Piaček
Štefan Piaček
Štefan Pir
Michal Kastler
Anton Prosňak
Lenhard Puškač
Ludevit Piszk
Anton Rigler
Géza Rozsár
Ernest Rác
Rudolf Slezák
Samuel Schönfeld
Karol Ščasný
Ján Smolik
Albert Smolik
Rochus Smolik
Štefan Sopušek
Michal Ility
Eduard Hollub
Adolf Gräber
Vladislav Rottkó
Štefan Samuel
Valent Štefa
Karol Švec
František Štora
Engelbert Suchofský
Richard Szobihárd
Ján Taraba
Štefan Turek
František Veselý
Jozef Veselý
František Villim
František Vlasák
Karol Vojkovič
Jozef Zaic
Anton Slezák
Jozef Slezák
Emil Titz
Robert Titz","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Stupava (Mást)",Bratislavský,Malacky,Stupava,Mesto Stupava leží na juhu Záhorskej nížiny pri úpätí Malých Karpát v okrese Malacky v Bratislavskom samosprávnom kraji. Prvá písomná zmienka je z roku 1269 a v súčasnosti tu žije približne 10000 obyvateľov.,Pomník sa nachádza pred Kostolom sv. Sebastiána.,48.265651 17.03069,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 27 mien padlých vojakov. Autorom pomníka z roku 1926, na vrchu ktorého je socha žehnajúceho Ježiša Krista a v jeho dolnej časti vojenská čapica, je Anton Weinberger.","Gašpar Ivan
Ján Slezák
Sebastián Draškovič
Tomáš Palkovič
Jozef Banovič
Tomaš Matulník
Jozef Polak
Vendel Suchý
Peter Blecha
Jakub Moza
Štefan Draškovič
František Slezák
Ján Maroš
Ján Draškovič
František Šabla
Jozef Ulehla
Štefan Kalivoda
Adolf Lachkovič
Jozef Sabo
Ludvik Ulehla
Jozef Hrica
František Sucha
František Hrdina
Tomaš Obrmar
Ján Belzár
Jozef Švec
Alois Taro","1872
1875
1875
1876
1877
1877
1879
1880
1881
1882
1883
1883
1884
1886
1887
1887
1889
1889
1889
1889
1890
1890
1893
1894
1895
1895
1897","1918
1915
1917
1917
1914
1916
1914
1914
1914
1917
1917
1916
1915
1914
1915
1916
1914
1915
1915
1916
1919
1918
1915
1916
1917
1916
1916"
"Pomník padlým v I. svetovej vojne a hasičom, Petržalka (Bratislava)",Bratislavský,Bratislava V,Bratislava – mestská časť Petržalka,Petržalka je mestská časť Bratislavy v Bratislavskom samosprávnom kraji. Pôvodne to bola vidiecka obec pri Bratislave s názvom Engerau na pravom brehu Dunaja. Prvá písomná zmienka pochádza z roku 1225. V súčasnosti tu žije asi 110.000 obyvateľov., Pomník sa nachádza na verejnom cintoríne v Petržalke na Nábrežnej ulici 36.,48.117514 17.088349,"Na snímke je pomník padlým v I. svetovej vojne, na ktorom figuruje 63 mien padlých vojakov. Postavený bol v 30. rokoch 20. storočia. Okrem vojakov padlých v I. svetovej vojne sú na ňom aj mená 15 hasičov, ktorí umreli prirodzenou smrťou.","Josef Fasching
Stefan Salay
Anton Dotterweich
Wilhelm Hnilicka
Josef Petule
Ludwig Schagerer
Martin Rudolf
Anton Jerney
Karl Seidl
Josef Hubert
Leopold Raus
Mathias Rudolf
Franz Scheck
Johann Michalek
Johann Scheiszler
Nikolaus Wasnak
Georg Hedl
Paul Mahr
Josef Hudecsek
Josef Kast
Johann Tankovics
Josef Timm
Johann Flickinger
Fabian Geihofer
Johann Mayer
Mathias Smickl
Karl Bauer
Vinzenz Dvorak
Johann Brenner
Franz Denk
Karl Grandl
Viktor Wanko
Stefan Szanya
Mathias Grandl
Franz Drazsdák
Franz Walentin
Johann Krecsmar
Karl Mullner
Mathias Ritter
Karl Wasnak
Julius Baumgartl
Gustav Dürr
Rudolf Gilitsch
Johann Gürth
Mathias Lang
Karl Molnar
Wilhelm Rieger
Peter Etmár
Franz Geiszer
Josef Kolek
Franz Paschitzky
Michael Weintritt
Julius Malkovits
Ludwig Rudolf
Johann Hedl
Gustav Rein
Stefan Andresz
Albert Story
Julius Holics
Emmerich Rudolf
Julius Fesselhofer
Franz Varga
Karl Gross","1861
1865
1870
1874
1874
1875
1876
1877
1880
1881
1881
1881
1881
1882
1882
1882
1883
1883
1884
1884
1884
1884
1885
1885
1885
1885
1886
1886
1887
1887
1887
1887
1888
1889
1890
1890
1891
1891
1891
1891
1892
1892
1892
1892
1892
1892
1892
1893
1893
1893
1893
1893
1894
1895
1896
1896
1897
1897
1898
1898
1899
1899
1900","1914
1919
1914
1918
1916
1919
1914
1915
1915
1914
1918
1917
1915
1918
1914
1920
1914
1914
1914
1920
1914
1914
1915
1914
1918
1914
1916
1915
1915
1915
1916
1918
1916
1914
1914
1914
1917
1916
1915
1918
1918
1914
1915
1914
1916
1917
1915
1915
1918
1915
1916
1915
1915
1918
1919
1915
1917
1918
1917
1918
1919
1919
1920"
"Pomník padlým v I. a II. svetovej vojne a obetiam koncentračných táborov, Podunajské Biskupice (Bratislava)",Bratislavský,Bratislava II,Bratislava – mestská časť Podunajské Biskupice,Podunajské Biskupice sú mestskou časťou Bratislavy v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o osídlení na týchto miestach pochádza z roku 1254 a v súčasnosti tu žije viac ako 21.000 obyvateľov.,Ústredné súsošie na Trojičnom námestí za zastávkou MHD v smere na ŽST Podunajské Biskupice.,48.124842 17.21133,"Na snímke je pomník padlým v I. a II. svetovej vojne a obetiam koncentračných táborov, na ktorom figuruje 97 mien padlých vojakov v I. a 16 vojakov v II. svetovej vojne ako aj 8 obetí koncentračných táborov. Autorom pomníka z roku 1936 je Vojtech Ihriský.","Lajos Szabó
Ferenc Árpa
János Kanavor
József Bab
Károly Kaiser
Peter Árpa
József Régely
János Mészáros
Titus Kotlár
János Prikler
Antal Horváth
Béla Molnár
Miklós Beidlhauser
Vilmos Fukari
Vendel Stiffter
Ferenc Javorcsik
Lörinc Gutleber
József Rothbauer
Albert Sipos
Béla Sipos
Rudolf Kovács
József Vozár
Lajos Daniel
István Benyovics
Ferdinand Rothbauer
János Tomanovics
János Gyurkovics
János Foglszinger
Adam Szabó
János Czanner
Antal Kemény
János Foglszinger
Ferenc Fehérvizi
Mihály Nagy
Vince Hideghéti
József Gazdag
Florián Halláling
Ferenc Mester
János Szabó
János Kirth
Ignác Kirth
János Németh
Vendel Zubin
Ferenc Varga
Ferenc Szász
András Húbert
János Németh
János Molnár
Antal Fülöp
István Hinterschuster
István Sándor
Eduard Vurm
Ferenc Tóth
László Gábris
Pál Vitmann
Ferenc Nagy
Lajos Kurth
Ferenc Ujhelyi
István Nagy
János Nagy
Lajos Pammer
Márton Fenes
István Radó
István Foglszinger
Titus Kanávor
Sándor Zsernovicky
Ferenc Kotlár
Pál Füle
József Kitler
Péter Kitler
József Rigó
József Sárközy
Károly Rigó
János Rigó
István Bogár
Károly Sárközy
Péter Wágner
Ilja Molnár
Béla Rajna
József Rajna
László Fehér
Sándor Kuruc
Károly Nagy
Sándor Kukorica
Ferenc Horváth
István Mészáros
Vince Csáky
Mihály Lapos
Károly Ambrus
Ferenc Sarkozi
János Holosi
József Arpa
István Rigó
Márton Prikler
János Nagy","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Tabuľa na pamiatku padlých vojakov v I. svetovej vojne, Rača (Bratislava)",Bratislavský,Bratislava III,Bratislava – mestská časť Rača,Rača je mestskou časťou Bratislavy v Bratislavskom samosprávnom kraji. Do roku 1946 samostatnou obcou známou pod menom Račišdorf. Leží na východnom úpätí Malých Karpát Prvá písomná zmienka o osídlení pochádza z roku 1296 a v súčasnosti tu žije okolo 20.000 obyvateľov.,Tabuľa sa nachádza v interiéri evanjelického kostola na Alstrovej ulici 41.,48.210245 17.145425,"Na snímke je tabuľa na pamiatku padlých vojakov v I. svetovej vojne, na ktorej figuruje 2 mien padlých vojakov. Odhalená bola v roku 1922.","Mathias Dadam
Paul Dadam
Stefan Drgala
Gottlieb Gschweng
Josef Gschweng
Julius Gschweng
Mathias Gschweng
Paul Gschweng
Stefan Gschweng
Mathias Marhofer
Johann Müller
Christof Petschuch
Michael Strohkendl
Eduard Wengh
Paul Wengh
Ferdinand Wenzl
Gustav Wenzl
Michael Wenzl
Paul Wenzl
Paul Wenzl
Koloman Zachhuber
Gustav Petschuch","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Božia muka na pamiatku padlých vojakov v I. svetovej vojne, Pezinok",Bratislavský,Pezinok,Pezinok,"Mesto Pezinok leží na juhovýchodnom okraji Malých Karpát v okrese Pezinok, v Bratislavskom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1208 a v súčasnosti tu žije okolo 23 000 obyvteľov.",Božia muka sa nachádza pred domom č. 45 na Kupeckého ulici.,48.290875 17.264587,Na snímke je Božia muka na pamiatku padlých vojakov v I. svetovej vojne vyrobená z keramických kachličiek.,-,-,-
"Pomník padlým v I. svetovej vojne, Pezinok",Bratislavský,Pezinok,Pezinok,"Mesto Pezinok leží na juhovýchodnom okraji Malých Karpát v okrese Pezinok, v Bratislavskom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1208 a v súčasnosti tu žije okolo 23 000 obyvteľov.",Pomník sa nachádza v areáli Kostola Nanebovzatia Panny Márie na Farskej ulici 7.,48.288887 17.268777,"Na snímke pomník padlým v I. svetovej vojne, na ktorom figurujú mená 49 vojakov. Architektonicky je dotvorený krížom s ukrižovaným Ježišom Kristom, pod ktorým sa nachádza anjel držiaci v náručí umierajúceho vojaka.","Michal Farbula
Ján Forner
Jozef Guštafík
Augustín Hrebič
Jozef Malíšek
František Mojžiš
Odrej Paták
Jozef Rubín
Jozef Slamka
Alexander Slezák
Jozef Slezák
Ján Zedníček
Štefan Baďura
Ľudevít Demovič
Augustín Dobay
Anton Godovič
Ján Guštafík
Ján Guštafík
Štefan Kraus
Štefan Kuttner
Gabriel Némethy
Cyprián Noskovič
Pavel Prachár
Karol Strapák
Cyril Turek
Martin Volek
Ján Benčurík
Vojtech Benčurík
Jozef Guštafík
Jozef Handreich
Peter Chovanec
Alexander Kuttner
Ján Trgina
Ján Tyko
Ľudevít Dait
Jozef Šamay
Štefan Tyko
Ondrej Vašina
Jozef Bíňovský
Štefan Demovič
Štefan Guštafík
Ján Horváth
Ľudevít Klamo
Martin Kraus
Michal Noga
Gašpar Slezák
Michal Slimák
Štefan Strapák","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","1914
1914
1914
1914
1914
1914
1914
1914
1914
1914
1914
1914
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1916
1916
1916
1916
1916
1916
1916
1916
1917
1917
1917
1917
1918
1918
1918
1918
1918
1918
1918
1918
1918
1918"
"Pomník padlým v I. a II. svetovej vojne, Báhoň",Bratislavský,Pezinok,Báhoň,Obec Báhoň leží v Leží v Trnavskej pahorkatine v doline Vištuckého potoka v okres Pezinok v Bratislavskom samosprávnom kraji.. Prvá písomná zmienka o usadlosti na tomto území sa viaže k roku 1244 a v súčasnosti tu žile asi 1800 obyvateľov.,Pomník sa nachádza na námestí za kostolom zo smeru od železničnej zastávky.,48.308543 17.444758,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 12 mien padlých v I. a 9 mien padlých v II. svetovej vojne.","Ján Hanus
Štefan Nemčovič
František Kunák
Alojz Zelenský
Viliam Tichý
Anton Švorc
Ján Marciš
Pavel Zelenský
František Somorovský
František Mrva","1874
1874
1885
1885
1887
1890
1891
1891
1892
1895","1915
1914
1915
1914
1915
1917
1915
1915
1916
1915"
"Pomník padlým v I. a II. svetovej vojne, Budmerice",Bratislavský,Pezinok,Budmerice,Obec Častá Leží na východnom úpätí Malých Karpát v okrese Pezinok v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o usadlosti na tomto území sa viaže k roku 1240 a v súčasnosti tu žile asi 2200 obyvateľov.,Pomník sa nachádza za bočným vchodom na cintorín z južnej strany oproti domu smútku.,48.354462 17.414225,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 28 mien padlých v I. a 8 mien padlých v II. svetovej vojne.","Pavel Bednárik
Adolar Boleček
Ján Kovačovič
Alojz Krištofovič
Štefan Gašparovič
Ján Klokner
Rudolf Holleš
Ján Víčan
Rudolf Fábry
Imrich Kovačovič
Bartolomej Morávek
Ján Ochaba
Jozef Mičko
Štefan Rašlík
Štefan Rašlík
Ján Adamčík
Karol Pollák
Jozef Ponic
Alojz Baksa
Jozef Pollák
Jozef Stoklas
Karol Belavý
Jozef Rašlík
Ján Kinčík
Eduard Michalík","1876
1885
1885
1885
1888
1888
1889
1889
1890
1890
1890
1890
1891
1891
1892
1893
1894
1894
1896
1896
1896
1899
1900
-
-","1916
1914
1915
1914
1915
1916
1917
1915
1915
1914
1916
1915
1918
1915
1915
1917
1915
1915
1915
1916
1917
1918
1918
1914
1917"
"Pomník padlým v I. a II. svetovej vojne a obetiam prechodu frontu, Častá",Bratislavský,Pezinok,Častá,Obec Častá Leží na východnom úpätí Malých Karpát v okrese Pezinok v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o usadlosti na tomto území sa viaže k roku 1240 a v súčasnosti tu žile asi 2200 obyvateľov.,Pomník sa nachádza pred Kostolom sv. Imricha.,48.399548 17.357447,Na snímke je pomník padlých vojakov v I. a II. svetovej vojne a obetí prechodu frontu. V hornej časti pomníka sa nachádza súsošie anjela držiaceho v náručí umierajúceho vojaka a v pozadí je kríž s ukrižovaným Ježišom Kristom.,-,-,-
"Pomník padlým v I. a II. svetovej vojne, Jablonec",Bratislavský,Pezinok,Jablonec,Obec Jablonec leží v Trnavskej pahorkatine v doline potoka Gidra v Bratislavskom samosprávnom kraji v okrese Pezinok. Prvá písomná zmienka pochádza z roku 1342 a v súčasnosti má okolo 1000 obyvateľov.,Pomník sa nachádza na juhovýchodnej strane Kostola sv. Márie Magdalény poblíž areálu materskej školy.,48.334922 17.445796,"Na snímke je pomník padlých vojakov v I. a II. svetovej vojne, na ktorom figuruje 15 mien padlých v I. a 2 mená padlých v II. svetovej vojne. Architektonicky pomník dotvára socha anjela držiaceho v náručí umierajúceho vojaka, v pozadí je kríž.","Dominik Špajdel
Ján Solčani
Ján Lovás
Ján Hasík
Ján Čambal
Gabriel Kolár
Jozef Dzíbela
Viliam Ochaba
Ondráš Čechovič
Antonín Dzíbela
Štefan Jánoška
Ján Lukovič
František Holek
Pavol Sládek
Ján Banič","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
